*品號,*序號,*客戶代號,*銷貨日期,來源單號
ABPR014012PIM-02                        ,FN286408                      ,1103,20100721,231-20100721008-0001
ABPR014012PIM-02                        ,FN286568                      ,1103,20100625,231-20100625007-0001
